,site,value,variable,quality,dateC
211,3154,25.8,PMTEOM,0.0,2020-01-09 19:00:00
212,3154,43.6,PMTEOM,0.0,2020-01-09 20:00:00
213,3154,55.6,PMTEOM,0.0,2020-01-09 21:00:00
214,3154,38.8,PMTEOM,0.0,2020-01-09 22:00:00
215,3154,11.1,PMTEOM,0.0,2020-01-09 23:00:00
216,3154,7.7,PMTEOM,0.0,2020-01-10 00:00:00
217,3154,6.6,PMTEOM,0.0,2020-01-10 01:00:00
218,3154,6.7,PMTEOM,0.0,2020-01-10 02:00:00
219,3154,5.5,PMTEOM,0.0,2020-01-10 03:00:00
220,3154,6.0,PMTEOM,0.0,2020-01-10 04:00:00
221,3154,5.7,PMTEOM,0.0,2020-01-10 05:00:00
222,3154,15.4,PMTEOM,0.0,2020-01-10 06:00:00
223,3154,16.0,PMTEOM,0.0,2020-01-10 07:00:00
224,3154,11.8,PMTEOM,0.0,2020-01-10 08:00:00
225,3154,5.4,PMTEOM,0.0,2020-01-10 09:00:00
226,3154,4.4,PMTEOM,0.0,2020-01-10 10:00:00
227,3154,3.6,PMTEOM,0.0,2020-01-10 11:00:00
228,3154,4.1,PMTEOM,0.0,2020-01-10 12:00:00
229,3154,7.3,PMTEOM,0.0,2020-01-10 13:00:00
230,3154,7.9,PMTEOM,0.0,2020-01-10 14:00:00
231,3154,6.2,PMTEOM,0.0,2020-01-10 15:00:00
232,3154,4.6,PMTEOM,0.0,2020-01-10 16:00:00
233,3154,6.1,PMTEOM,0.0,2020-01-10 17:00:00
234,3154,6.7,PMTEOM,0.0,2020-01-10 18:00:00
235,3154,5.4,PMTEOM,0.0,2020-01-10 19:00:00
236,3154,5.2,PMTEOM,0.0,2020-01-10 20:00:00
237,3154,5.6,PMTEOM,0.0,2020-01-10 21:00:00
238,3154,5.2,PMTEOM,0.0,2020-01-10 22:00:00
239,3154,5.6,PMTEOM,0.0,2020-01-10 23:00:00
240,3154,6.3,PMTEOM,0.0,2020-01-11 00:00:00
241,3154,5.4,PMTEOM,0.0,2020-01-11 01:00:00
242,3154,4.9,PMTEOM,0.0,2020-01-11 02:00:00
243,3154,4.2,PMTEOM,0.0,2020-01-11 03:00:00
244,3154,4.9,PMTEOM,0.0,2020-01-11 04:00:00
245,3154,5.4,PMTEOM,0.0,2020-01-11 05:00:00
246,3154,4.5,PMTEOM,0.0,2020-01-11 06:00:00
247,3154,10.4,PMTEOM,0.0,2020-01-11 07:00:00
248,3154,11.9,PMTEOM,0.0,2020-01-11 08:00:00
249,3154,6.8,PMTEOM,0.0,2020-01-11 09:00:00
250,3154,4.1,PMTEOM,0.0,2020-01-11 10:00:00
251,3154,6.6,PMTEOM,0.0,2020-01-11 11:00:00
252,3154,6.3,PMTEOM,0.0,2020-01-11 12:00:00
253,3154,6.2,PMTEOM,0.0,2020-01-11 13:00:00
254,3154,7.0,PMTEOM,0.0,2020-01-11 14:00:00
255,3154,6.4,PMTEOM,0.0,2020-01-11 15:00:00
256,3154,8.0,PMTEOM,0.0,2020-01-11 16:00:00
257,3154,40.7,PMTEOM,0.0,2020-01-11 17:00:00
258,3154,16.3,PMTEOM,0.0,2020-01-11 18:00:00
259,3154,8.8,PMTEOM,0.0,2020-01-11 19:00:00
260,3154,7.2,PMTEOM,0.0,2020-01-11 20:00:00
261,3154,9.0,PMTEOM,0.0,2020-01-11 21:00:00
262,3154,4.2,PMTEOM,0.0,2020-01-11 22:00:00
263,3154,5.0,PMTEOM,0.0,2020-01-11 23:00:00
264,3154,6.0,PMTEOM,0.0,2020-01-12 00:00:00
265,3154,6.4,PMTEOM,0.0,2020-01-12 01:00:00
266,3154,5.9,PMTEOM,0.0,2020-01-12 02:00:00
267,3154,5.9,PMTEOM,0.0,2020-01-12 03:00:00
268,3154,4.0,PMTEOM,0.0,2020-01-12 04:00:00
269,3154,6.5,PMTEOM,0.0,2020-01-12 05:00:00
270,3154,5.7,PMTEOM,0.0,2020-01-12 06:00:00
271,3154,9.0,PMTEOM,0.0,2020-01-12 07:00:00
272,3154,6.9,PMTEOM,0.0,2020-01-12 08:00:00
273,3154,7.2,PMTEOM,0.0,2020-01-12 09:00:00
274,3154,5.9,PMTEOM,0.0,2020-01-12 10:00:00
275,3154,5.5,PMTEOM,0.0,2020-01-12 11:00:00
276,3154,5.0,PMTEOM,0.0,2020-01-12 12:00:00
277,3154,6.6,PMTEOM,0.0,2020-01-12 13:00:00
278,3154,6.4,PMTEOM,0.0,2020-01-12 14:00:00
279,3154,6.9,PMTEOM,0.0,2020-01-12 15:00:00
280,3154,5.8,PMTEOM,0.0,2020-01-12 16:00:00
281,3154,8.6,PMTEOM,0.0,2020-01-12 17:00:00
282,3154,7.3,PMTEOM,0.0,2020-01-12 18:00:00
283,3154,8.2,PMTEOM,0.0,2020-01-12 19:00:00
284,3154,7.3,PMTEOM,0.0,2020-01-12 20:00:00
285,3154,8.4,PMTEOM,0.0,2020-01-12 21:00:00
286,3154,5.4,PMTEOM,0.0,2020-01-12 22:00:00
287,3154,7.2,PMTEOM,0.0,2020-01-12 23:00:00
288,3154,6.4,PMTEOM,0.0,2020-01-13 00:00:00
289,3154,7.4,PMTEOM,0.0,2020-01-13 01:00:00
290,3154,6.8,PMTEOM,0.0,2020-01-13 02:00:00
291,3154,6.7,PMTEOM,0.0,2020-01-13 03:00:00
292,3154,7.2,PMTEOM,0.0,2020-01-13 04:00:00
293,3154,12.9,PMTEOM,0.0,2020-01-13 05:00:00
294,3154,10.2,PMTEOM,0.0,2020-01-13 06:00:00
