,site,ws,wd,units,name,latitude,longitude,dateC
135831,2849,1.47,228.953,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 17:00:00
135832,2849,1.33,220.552,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 18:00:00
135833,2849,0.7,42.788799,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 19:00:00
135834,2849,1.24,48.972099,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 20:00:00
135835,2849,1.39,48.659901,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 21:00:00
135836,2849,1.36,46.551899,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 22:00:00
135837,2849,1.09,43.419399,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 23:00:00
135838,2849,1.61,41.199799,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 00:00:00
135839,2849,1.06,52.851101,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 01:00:00
135840,2849,3.2,36.2108,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 02:00:00
135841,2849,3.02,36.8685,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 03:00:00
135842,2849,1.64,38.428501,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 04:00:00
135843,2849,0.67,77.846802,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 05:00:00
135844,2849,1.02,101.29,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 06:00:00
135845,2849,1.24,85.264801,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 07:00:00
135846,2849,0.57,62.799702,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 08:00:00
135847,2849,1.2,98.091103,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 09:00:00
135848,2849,1.9,140.269,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 10:00:00
135849,2849,2.36,200.25301,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 11:00:00
135850,2849,1.69,207.411,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 12:00:00
135851,2849,1.99,258.49701,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 13:00:00
135852,2849,2.95,231.256,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 14:00:00
135853,2849,2.32,235.287,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 15:00:00
135854,2849,0.8,239.894,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 16:00:00
135855,2849,0.65,41.954899,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 17:00:00
135856,2849,1.65,34.383499,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 18:00:00
135857,2849,2.01,46.911701,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 19:00:00
135858,2849,1.45,39.9618,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 20:00:00
135859,2849,1.3,27.3689,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 21:00:00
135860,2849,1.55,52.078098,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 22:00:00
135861,2849,2.25,33.5732,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-07 23:00:00
135862,2849,3.52,33.053799,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-08 00:00:00
135863,2849,1.5,47.9436,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-08 01:00:00
135864,2849,1.04,42.411499,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-08 02:00:00
135865,2849,1.91,39.252998,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-08 03:00:00
135866,2849,2.11,41.675598,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-08 04:00:00
135867,2849,2.17,41.9991,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-08 05:00:00
135868,2849,2.18,48.366402,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-08 06:00:00
135869,2849,1.48,100.323,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-08 07:00:00
135870,2849,2.1,87.275902,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-08 08:00:00
135871,2849,1.93,211.27699,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-08 09:00:00
135872,2849,1.02,145.35699,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-08 10:00:00
135873,2849,2.89,127.979,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-08 11:00:00
135874,2849,2.49,117.726,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-08 12:00:00
135875,2849,2.36,160.784,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-08 13:00:00
135876,2849,2.63,189.343,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-08 14:00:00
