pm_value,ws,wd
6.4,6.1,201.5
3.1,5.07,198.2
0.2,5.18,191.0
3.7,4.26,174.0
11.3,4.15,186.60001
7.3,2.53,223.39999
6.3,3.69,183.2
5.9,6.45,186.8
5.7,5.99,199.2
5.0,6.22,234.2
3.7,7.02,220.3
4.4,7.83,217.10001
8.6,6.68,207.60001
4.8,6.1,243.0
0.8,3.92,194.8
5.7,3.92,179.3
8.1,3.57,185.10001
7.5,3.34,165.0
9.5,3.45,153.10001
7.2,4.72,156.3
8.7,5.64,161.8
8.4,5.41,169.7
9.1,6.45,182.3
8.5,5.3,168.2
5.6,5.3,169.39999
4.4,6.45,181.89999
3.7,5.99,178.8
1.5,5.99,180.0
1.6,5.18,182.60001
6.6,5.64,190.10001
5.3,5.99,213.60001
3.5,6.79,220.5
2.8,7.49,233.10001
3.6,6.22,230.2
1.7,4.26,272.0
-1.1,5.64,257.29999
4.9,5.76,249.8
4.6,5.41,229.3
